timestamp,celsius,fahrenheit
2026-05-08 11:46:36,20.750,69.350
2026-05-08 11:47:07,20.750,69.350
2026-05-08 11:47:40,20.750,69.350
2026-05-08 11:48:11,20.750,69.350
2026-05-08 11:48:43,20.750,69.350
2026-05-08 11:49:14,20.750,69.350
2026-05-08 11:49:46,20.750,69.350n
2026-05-08 11:50:17,20.750,69.350
2026-05-08 11:50:49,20.750,69.350
2026-05-08 13:03:06,20.437,68.787
2026-05-08 13:03:37,20.437,68.787
2026-05-08 13:04:09,20.437,68.787
2026-05-08 13:04:40,20.437,68.787
2026-05-08 13:05:12,20.437,68.787
2026-05-08 13:05:43,20.437,68.787
2026-05-08 13:06:14,20.437,68.787
2026-05-08 13:06:46,20.437,68.787
2026-05-08 13:07:17,20.437,68.787
2026-05-08 13:07:49,20.437,68.787
2026-05-08 13:08:21,20.437,68.787
2026-05-08 13:08:52,20.375,68.675
2026-05-08 13:09:24,20.437,68.787
2026-05-08 13:09:55,20.375,68.675
2026-05-08 13:10:26,20.437,68.787
2026-05-08 13:10:58,20.375,68.675
2026-05-08 13:11:29,20.375,68.675
2026-05-08 13:12:01,20.375,68.675
2026-05-08 13:12:32,20.375,68.675
2026-05-08 13:13:04,20.375,68.675
2026-05-08 13:13:36,20.375,68.675
2026-05-08 13:14:07,20.375,68.675
2026-05-08 13:14:38,20.375,68.675
2026-05-08 13:15:10,20.375,68.675
2026-05-08 13:15:41,20.375,68.675
2026-05-08 13:16:13,20.375,68.675
2026-05-08 13:16:44,20.375,68.675
2026-05-08 13:17:16,20.375,68.675
2026-05-08 13:17:47,20.375,68.675
2026-05-08 13:18:19,20.375,68.675
2026-05-08 13:18:51,20.375,68.675
2026-05-08 13:19:22,20.375,68.675
2026-05-08 13:19:54,20.375,68.675
2026-05-08 13:42:00,21.250,70.250
2026-05-08 13:42:31,21.250,70.250
2026-05-08 13:46:06,23.437,74.187
2026-05-08 13:46:38,23.375,74.075
2026-05-08 13:47:09,23.437,74.187
2026-05-08 13:47:41,23.187,73.737
2026-05-08 13:48:12,23.000,73.400
2026-05-08 13:48:43,22.875,73.175
2026-05-08 13:49:15,22.625,72.725
2026-05-08 13:49:47,22.375,72.275
2026-05-08 13:50:18,22.125,71.825
2026-05-08 13:50:50,21.937,71.487
2026-05-08 13:51:22,21.812,71.262
2026-05-08 13:51:53,21.687,71.037
2026-05-08 13:52:25,21.625,70.925
2026-05-08 13:52:56,21.562,70.812
2026-05-08 13:53:27,21.500,70.700
2026-05-08 13:53:59,21.437,70.587
2026-05-08 13:54:30,21.437,70.587
2026-05-08 13:55:02,21.437,70.587
2026-05-08 13:55:33,21.375,70.475
2026-05-08 13:56:05,21.375,70.475
2026-05-08 13:56:37,21.312,70.362
2026-05-08 13:57:08,21.312,70.362
2026-05-08 13:57:40,21.312,70.362
2026-05-08 13:58:11,21.312,70.362
2026-05-08 13:58:43,21.312,70.362
2026-05-08 13:59:14,21.312,70.362
2026-05-08 13:59:45,21.312,70.362
2026-05-08 14:00:17,21.375,70.475
2026-05-08 14:00:48,21.375,70.475
2026-05-08 14:01:11,21.375,70.475
2026-05-08 14:01:43,21.375,70.475
2026-05-08 14:08:02,21.500,70.700
2026-05-08 14:08:33,21.562,70.812
2026-05-08 14:09:04,21.562,70.812
2026-05-08 14:09:36,21.562,70.812
2026-05-08 14:10:07,21.562,70.812
2026-05-08 14:10:38,21.562,70.812
2026-05-08 14:11:10,21.562,70.812
2026-05-08 14:11:41,21.562,70.812
2026-05-08 14:12:13,21.562,70.812
2026-05-08 14:12:44,21.562,70.812
2026-05-08 14:13:16,21.500,70.700
2026-05-08 14:13:48,21.562,70.812
2026-05-08 14:14:19,21.500,70.700
2026-05-08 14:14:51,21.500,70.700
2026-05-08 14:15:22,21.562,70.812
2026-05-08 14:15:54,21.500,70.700
2026-05-08 14:16:25,21.562,70.812
2026-05-08 14:16:56,21.500,70.700
2026-05-08 14:17:28,21.562,70.812
2026-05-08 14:17:52,21.562,70.812
2026-05-08 14:18:21,21.562,70.812
2026-05-08 14:18:52,21.562,70.812
2026-05-08 14:19:24,21.562,70.812
2026-05-08 14:19:55,21.562,70.812
2026-05-08 14:20:27,21.562,70.812
2026-05-08 14:20:58,21.562,70.812
2026-05-08 14:21:29,21.562,70.812
2026-05-08 14:22:01,21.562,70.812
2026-05-08 14:22:32,21.562,70.812
2026-05-08 14:23:04,21.562,70.812
2026-05-08 14:23:36,21.562,70.812
2026-05-08 14:24:07,21.562,70.812
2026-05-08 14:24:39,21.562,70.812
2026-05-08 14:25:10,21.562,70.812
2026-05-08 14:25:42,21.562,70.812
2026-05-08 14:26:13,21.562,70.812
2026-05-08 14:26:44,21.562,70.812
2026-05-08 14:27:16,21.562,70.812
2026-05-08 14:27:47,21.562,70.812
2026-05-08 14:28:19,21.562,70.812
2026-05-08 14:28:51,21.562,70.812
2026-05-08 14:29:22,21.562,70.812
2026-05-08 14:29:53,21.562,70.812
2026-05-08 14:30:25,21.562,70.812
2026-05-08 14:30:56,21.562,70.812
2026-05-08 14:31:28,21.562,70.812
2026-05-08 14:31:59,21.562,70.812
2026-05-08 14:32:30,21.562,70.812
2026-05-08 14:33:02,21.562,70.812
2026-05-08 14:33:33,21.562,70.812
2026-05-08 14:34:05,21.562,70.812
2026-05-08 14:34:37,21.562,70.812
2026-05-08 14:35:08,21.562,70.812
2026-05-08 14:35:40,21.562,70.812
2026-05-08 14:36:11,21.562,70.812
2026-05-08 14:36:42,21.562,70.812
2026-05-08 14:37:14,21.812,71.262
2026-05-08 14:37:18,21.812,71.262
2026-05-08 14:37:49,21.812,71.262
2026-05-08 14:38:21,21.812,71.262
2026-05-08 14:38:26,21.812,71.262
2026-05-08 14:38:57,21.812,71.262
2026-05-08 14:39:29,21.812,71.262
2026-05-08 14:40:00,21.812,71.262
2026-05-08 14:40:32,21.812,71.262
2026-05-08 14:41:04,21.812,71.262
2026-05-08 14:41:35,21.812,71.262
2026-05-08 14:42:07,21.812,71.262
2026-05-08 14:42:38,21.812,71.262
2026-05-08 14:43:10,21.812,71.262
2026-05-08 14:43:43,21.812,71.262
2026-05-08 14:43:56,21.812,71.262
2026-05-08 14:44:33,21.812,71.262
2026-05-08 14:45:06,21.812,71.262
2026-05-08 14:45:38,21.812,71.262
2026-05-08 14:46:10,21.812,71.262
2026-05-08 14:46:42,21.812,71.262
2026-05-08 14:47:14,21.812,71.262
2026-05-08 14:47:46,21.812,71.262
2026-05-08 14:48:19,21.812,71.262
2026-05-08 14:48:51,21.750,71.150
2026-05-08 14:49:23,21.812,71.262
2026-05-08 14:49:57,21.750,71.150
2026-05-08 14:50:29,21.750,71.150
2026-05-08 14:51:01,21.750,71.150
2026-05-08 14:51:33,21.812,71.262
2026-05-08 14:52:06,21.812,71.262
2026-05-08 14:52:38,21.750,71.150
2026-05-08 14:53:10,21.750,71.150
2026-05-08 14:53:43,21.750,71.150
2026-05-08 14:54:15,21.750,71.150
2026-05-08 14:54:47,21.750,71.150
